name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,critic_score,critic_count,user_score,user_count,developer,rating,Manufacturer,CountDeveloper,CountPublisher
Jikandia: The Timeless Land,PSP,2010,Role-Playing,Idea Factory,30000,0,0,0,6,5,7.2,5,Opus Studio,T,Nintendo,1,7
The Legend of Heroes III: Song of the Ocean,PSP,2006,Role-Playing,Namco Bandai Games,30000,0,0,0,5.8,17,6.1,7,Microvision,E10+,Nintendo,3,61
Neverwinter Nights,PC,2002,Role-Playing,Atari,0,30000,0,0,9.1,34,8.2,490,BioWare,T,PC,21,35
Digimon World 4,XB,2005,Role-Playing,Atari,20000,10000,0,0,5.4,5,8.8,4,Bandai,E,Microsoft,5,35
Graffiti Kingdom,PS2,2004,Role-Playing,505 Games,10000,10000,0,0,7.1,27,7.1,12,Taito Corporation,E,Sony,13,20
Hot Pixel,PSP,2007,Puzzle,Atari,30000,0,0,0,5.5,35,6.5,6,zSlide,T,Nintendo,1,35
Atomic Betty,GBA,2005,Puzzle,Atari,20000,10000,0,0,6.2,10,7.5,6,"Big Blue Bubble Inc., Breakthrough New Media",E,Nintendo,1,35
Lords of the Fallen,PC,2014,Role-Playing,Square Enix,0,30000,0,0,7.3,36,6.9,583,"City Interactive, Deck 13",M,PC,3,89
Spectral Souls: Resurrection of the Ethereal Empires,PSP,2005,Role-Playing,Idea Factory,30000,0,0,0,4.7,27,8.2,12,"Neverland, Idea Factory",T,Nintendo,3,7
The Technomancer,XOne,2016,Role-Playing,Focus Home Interactive,10000,10000,0,0,6.8,12,7.4,55,Spiders,M,Microsoft,3,14
Napoleon Dynamite: The Game,DS,2007,Puzzle,Crave Entertainment,20000,0,0,0,4.5,9,7.3,4,7 Studios,E10+,Nintendo,2,6
Dungeon Siege II,PC,2005,Role-Playing,Microsoft Game Studios,0,20000,0,0,8,51,7.9,159,Gas Powered Games,M,PC,1,16
Neverwinter Nights Diamond,PC,2004,Role-Playing,Atari,0,20000,0,0,6.48,NA,8.2,11,BioWare,M,PC,21,35
ZooCube,GC,2002,Puzzle,Acclaim Entertainment,20000,0,0,0,6.7,15,6.1,7,PuzzleKings,E,Nintendo,2,4
Neverwinter Nights 2,PC,2006,Role-Playing,Atari,0,20000,0,0,8.2,46,6.5,565,Obsidian Entertainment,T,PC,15,35
DemiKids: Light Version,GBA,2002,Role-Playing,Atlus,20000,10000,0,0,6.2,8,8.3,15,Multimedia Intelligence Transfer,E,Nintendo,1,17
Line Rider 2: Unbound,Weii,2008,Puzzle,Deep Silver,20000,0,0,0,6.2,12,6.4,5,InXile Entertainment,E,Nintendo,5,19
Star Trek Online,PC,2010,Role-Playing,Atari,0,20000,0,0,6.6,34,6.2,694,Cryptic Studios,T,PC,1,35
